title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score
You've Got Mail,MOVIE,1998,PG,119,"['romance', 'drama', 'comedy']",['US'],,tt0128853,6.7
Starship Troopers,MOVIE,1997,R,129,"['scifi', 'thriller', 'action']",['US'],,tt0120201,7.3
Neon Genesis Evangelion,SHOW,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",['JP'],1.0,tt0112159,8.5
The Magic School Bus,SHOW,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']","['US', 'CA']",4.0,tt0108847,7.8
Donnie Brasco,MOVIE,1997,R,127,"['thriller', 'drama', 'crime']",['US'],,tt0119008,7.7
Power Rangers,SHOW,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",['US'],29.0,tt0106064,6.5
U.S. Marshals,MOVIE,1998,PG-13,126,"['thriller', 'crime', 'action']",['US'],,tt0120873,6.5
Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",['US'],4.0,tt0222518,6.2
Wild Things,MOVIE,1998,R,108,"['drama', 'thriller', 'crime', 'european']",['US'],,tt0194542,6.6
Last Action Hero,MOVIE,1993,PG-13,130,"['comedy', 'action', 'fantasy']",['US'],,tt0107362,6.4
Seven Years in Tibet,MOVIE,1997,PG-13,136,"['drama', 'history', 'war']",['US'],,tt0120102,7.1
The Devil's Advocate,MOVIE,1997,,144,"['horror', 'thriller', 'drama']","['DE', 'US']",,tt0118971,7.5
A River Runs Through It,MOVIE,1992,PG,123,['drama'],['US'],,tt0105265,7.2
"Girl, Interrupted",MOVIE,1999,R,127,"['drama', 'european']","['US', 'DE']",,tt0172493,7.3
Goosebumps,SHOW,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']","['CA', 'US']",4.0,tt0111987,7.6
Yu-Gi-Oh!,SHOW,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",['JP'],7.0,tt4834194,7.2
InuYasha,SHOW,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",['JP'],9.0,tt0290223,7.9
Any Given Sunday,MOVIE,1999,R,162,"['drama', 'sport']",['US'],,tt0146838,6.9
Menace II Society,MOVIE,1993,R,97,"['drama', 'crime', 'thriller']",['US'],,tt0107554,7.5
Desperado,MOVIE,1995,R,104,"['thriller', 'action', 'crime', 'western', 'european']",['US'],,tt0112851,7.1
The Mask of Zorro,MOVIE,1998,PG-13,136,"['action', 'thriller', 'western', 'comedy', 'romance']",['US'],,tt0120746,6.8
The Patriot,MOVIE,2000,R,165,"['drama', 'action', 'history', 'war']","['DE', 'US']",,tt0187393,7.2
Road Trip,MOVIE,2000,R,93,['comedy'],['US'],,tt0215129,6.5
Free Willy,MOVIE,1993,PG,112,"['drama', 'family']","['US', 'FR']",,tt0106965,6.0
My First Errand,SHOW,1991,TV-G,19,['reality'],['JP'],12.0,,
3 Ninjas Kick Back,MOVIE,1994,PG,93,"['action', 'comedy', 'family', 'sport']","['US', 'JP']",,tt15327306,4.5
In the Line of Fire,MOVIE,1993,R,128,"['drama', 'thriller', 'action', 'crime']",['US'],,tt0107206,7.2
The Replacements,MOVIE,2000,PG-13,118,"['comedy', 'sport']",['US'],,tt0191397,6.6
Johnny Mnemonic,MOVIE,1995,R,97,"['scifi', 'thriller', 'action', 'drama']","['US', 'CA']",,tt0113481,5.6
Little Women,MOVIE,1994,PG,115,"['drama', 'family', 'romance']",['US'],,tt0110367,7.3
Anaconda,MOVIE,1997,PG-13,89,"['thriller', 'horror', 'action']","['PE', 'US', 'BR']",,tt0118615,4.8
My Girl,MOVIE,1991,PG,103,"['comedy', 'drama', 'family', 'romance', 'european']",['US'],,tt0102492,6.9
Cliffhanger,MOVIE,1993,R,112,"['thriller', 'action', 'animation']","['IT', 'US', 'FR']",,tt0106582,6.5
I Know What You Did Last Summer,MOVIE,1997,R,101,"['horror', 'thriller']",['US'],,tt0119345,5.7
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,"['scifi', 'action', 'comedy', 'family']","['US', 'HK']",,tt0103060,6.0
Barney & Friends,SHOW,1992,TV-G,28,['family'],['US'],14.0,tt0144701,3.8
Hollow Man,MOVIE,2000,R,112,"['scifi', 'action', 'horror', 'thriller']","['DE', 'US']",,tt0164052,5.8
Godzilla,MOVIE,1998,PG-13,133,"['thriller', 'scifi', 'action']",['US'],,tt0120685,5.4
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",['JP'],,tt0169858,8.0
Spawn,MOVIE,1997,PG-13,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",['US'],,tt0120177,5.2
Dennis the Menace,MOVIE,1993,PG,95,"['comedy', 'family']",['US'],,tt0106701,5.6
The Net,MOVIE,1995,PG-13,114,"['thriller', 'action', 'crime', 'drama']",['US'],,tt0113957,5.9
The Devil's Own,MOVIE,1997,R,107,"['thriller', 'drama', 'action', 'crime', 'european']",['US'],,tt0962637,6.2
Croupier,MOVIE,1998,R,94,"['thriller', 'european', 'crime', 'drama']","['FR', 'IE', 'GB', 'DE']",,tt0159382,7.0
Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']","['HK', 'US']",,tt0108308,4.7
The General's Daughter,MOVIE,1999,R,116,"['drama', 'crime', 'thriller']","['US', 'DE']",,tt0144214,6.4
The Next Karate Kid,MOVIE,1994,PG,107,"['drama', 'family', 'romance', 'sport', 'action']",['US'],,tt0110657,4.5
I Still Know What You Did Last Summer,MOVIE,1998,R,100,"['thriller', 'horror']",['US'],,tt0130018,4.7
Double Team,MOVIE,1997,R,93,"['scifi', 'action', 'comedy', 'thriller']","['US', 'HK']",,tt0119013,4.7
Under Suspicion,MOVIE,2000,R,110,"['thriller', 'crime', 'drama', 'european']",['US'],,tt0164212,6.5
Moesha,SHOW,1996,TV-PG,21,"['drama', 'comedy', 'family']",['US'],6.0,tt0115275,5.7
"Sister, Sister",SHOW,1994,TV-PG,22,"['comedy', 'drama', 'family']",['US'],6.0,tt0108927,6.2
Cardcaptor Sakura,SHOW,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",['JP'],4.0,tt0221735,8.0
Geronimo: An American Legend,MOVIE,1993,PG-13,115,"['western', 'drama', 'history']",['US'],,tt0107004,6.5
The Mirror Has Two Faces,MOVIE,1996,PG-13,126,"['romance', 'comedy', 'drama']",['US'],,tt0117057,6.6
Girlfriends,SHOW,2000,TV-PG,21,"['comedy', 'drama']",['US'],8.0,tt0247102,7.2
Bill Hicks: One Night Stand,MOVIE,1991,NC-17,30,['comedy'],['US'],,,
Knight Rider 2000,MOVIE,1991,G,91,"['action', 'scifi']",['US'],,tt0102227,4.5
The Last Days,MOVIE,1998,PG-13,87,"['drama', 'documentation', 'war']",['US'],,tt0174852,7.9
The Parkers,SHOW,1999,TV-PG,19,['comedy'],['US'],5.0,tt0200353,6.8
